,Names,RMS,KURT,SKW,STD,POW,POW_Max,FFT,Sources
73,probe7-2.1_p_0.00135 1 neur,10.626554045225015,-0.7668839782491603,-0.15955576877784683,4.560575880662555,2311.7046094575535,440.02491472325636,120.44766702555218,1
74,probe7-2.1_p_0.0014 1 neur,10.696949586920079,-0.7619830739409883,-0.16071406055610848,4.587241175014708,2342.177707798123,451.2356873221413,121.04411076510036,1
75,probe8_p_0.0013 1 neur,48.36177040289894,-0.7634430725326258,-0.1590249225046461,20.761894831081605,1706.6510005564303,329.10053435103924,103.33663526381007,1
76,probe8_p_0.00135 1 neur,48.290004361404335,-0.766884092537468,-0.15955470732537183,20.72452043672297,1701.612546213954,323.89609517185085,103.3386060682673,1
77,probe8_p_0.0014 1 neur,48.60991819428928,-0.7619785587021441,-0.16070746718962425,20.845720494479878,1724.0447600236607,332.1482306119893,103.85039949621665,1
78,probe8.1_p_0.0013 1 neur,136.55684939225623,-0.7634451742626682,-0.1590423193695466,58.62416106895166,1826.6977075655664,352.24965372112786,106.90925296053027,1
79,probe8.1_p_0.00135 1 neur,136.35409984315837,-0.7668852447300583,-0.15954405373289257,58.518823281838344,1821.3051440092145,346.67915571844577,106.91130001576757,1
80,probe8.1_p_0.0014 1 neur,137.2577701512975,-0.7619601880645903,-0.16068083450030432,58.86139675557885,1845.3150625990638,355.51170154553853,107.44079037372966,1
81,probe5-6.1_p_0.0013 1 neur,8.336395368599728,-0.763442370033844,-0.1590191631868735,3.5788512119251825,2321.1356752931742,447.5935612608854,120.51255787772027,1
82,probe5-6.1_p_0.00135 1 neur,8.32402694569605,-0.7668837446558854,-0.15955774844963855,3.572404943376652,2314.283752549086,440.51585023689995,120.51483976220649,1
83,probe5-6.1_p_0.0014 1 neur,8.379167252137226,-0.7619861465878577,-0.16071851666555667,3.593289561434379,2344.791025246778,451.73915534625087,121.11162127305215,1
84,probe7_p_0.0013 1 neur,4.630680944238951,-0.7634423177241518,-0.15901879395705357,1.9879718616483888,2445.4950913108887,471.5742358867759,123.69878776155255,1
85,probe7_p_0.00135 1 neur,4.623806997898214,-0.7668840159995796,-0.15955542141274495,1.984389554678649,2438.276193562741,464.1173618339983,123.70113031745464,1
86,probe7_p_0.0014 1 neur,4.654437336820632,-0.7619843304816816,-0.16071584215939902,1.9959915729148319,2470.4175431816448,475.94195251472104,124.31367345538993,1
87,probe6-7_p_0.0013 1 neur,9.661624123247318,-0.7634419541792643,-0.15901578136857927,4.147780800710548,2320.92239477923,447.5524941223074,120.5070186358525,1
88,probe6-7_p_0.00135 1 neur,9.647285745843119,-0.7668837614723061,-0.15955783953485478,4.140305116027231,2314.0711422517043,440.4753812736742,120.5093039454192,1
89,probe6-7_p_0.0014 1 neur,9.71118919346764,-0.7619899659040672,-0.16072405986682506,4.164505468562477,2344.5755588764096,451.69764397994123,121.10605666903955,1
90,probe6-7.1_p_0.0013 1 neur,9.619567010830258,-0.7634419259505512,-0.1590155517775791,4.129725689403052,2325.053712358187,448.3491185338036,120.61422549761322,1
91,probe6-7.1_p_0.00135 1 neur,9.605291382916079,-0.766883754907068,-0.15955777113037625,4.122282482582057,2318.1902627530503,441.25943971698683,120.61651129168379,1
92,probe6-7.1_p_0.0014 1 neur,9.668917502739864,-0.7619909382656536,-0.1607254959557444,4.14637703541225,2348.7489841997276,452.50167823338114,121.21379593185186,1
93,probe6_p_0.0013 1 neur,4.862906456215177,-0.7634423314588652,-0.15901892073401264,2.0876672448595217,2435.678968129473,469.6813079562516,123.45027885194598,1
94,probe6_p_0.00135 1 neur,4.855689115445964,-0.7668840527983765,-0.15955519347163857,2.0839059388428134,2428.489038333299,462.25441204988647,123.4526147686131,1
95,probe6_p_0.0014 1 neur,4.887857286471764,-0.7619839203340724,-0.16071525090598573,2.0960906958353718,2460.50149425055,474.03155682607996,124.06393126904398,1
96,probe2_p_0.001 1 neur,6.176908683579419,-0.09413258350549114,-1.0383772434121676,2.1123885384349896,3345.563672060613,1598.8449568112555,101.88758819858585,1
97,probe2_p_0.0011 1 neur,6.245340286304606,-0.09578703745371087,-1.035768555261889,2.1359433224238527,3419.9608705984615,1633.5553574914566,102.92446293347794,1
98,probe2_p_0.0012 1 neur,6.206931650696237,-0.09398723405268594,-1.0385354482238747,2.122417379811789,3377.645694610674,1612.8982666700906,102.50362332781368,1
99,probe2_p_0.0013 1 neur,6.245083231446035,-0.08841741513948209,-1.0425523559825365,2.1331062748602707,3420.2992046646746,1634.8640849017193,102.82433684338548,1
100,probe2_p_0.0014 1 neur,6.15977603250357,-0.09557591578407498,-1.0356979392303611,2.1068352265591033,3326.820538755375,1589.0840823076044,101.50637575535883,1
101,probe2_p_0.0015 1 neur,6.299095833672289,-0.0941100992696855,-1.038340932317605,2.154057004037152,3478.8286228573984,1661.2315007566706,104.01164100860264,1
102,probe2_p_0.0016 1 neur,6.233961942482481,-0.09587275721192379,-1.0356521473899323,2.1321900492690737,3407.366916498867,1627.5554676206527,102.7311264726518,1
103,probe2_p_0.0017 1 neur,6.167427811787855,-0.09557552478323394,-1.0357440526279496,2.1094127385788997,3335.0959465372043,1593.0401743609557,101.6342484083831,1
104,probe2_p_0.0018 1 neur,6.1710394349023225,-0.09554006383622715,-1.0357205918077053,2.1106237837834243,3339.046899075833,1594.9221407711375,101.69294752442866,1
105,probe2_p_0.0019 1 neur,6.1868372948861685,-0.09409358847084537,-1.0383202340469684,2.1156913993242474,3355.925189093689,1602.5518729015992,102.15539783772218,1
106,probe2_p_0.002 1 neur,6.120424884138611,-0.09560016849440389,-1.0357877373941524,2.0932317898283506,3284.4051027397845,1568.808020629059,100.86360850811624,1
107,probe2-5_p_0.001 1 neur,12.08285890274937,-0.09413541219942179,-1.0383750995570156,4.132113040846783,3184.5923486887177,1521.916862146608,99.40617169236008,1
108,probe2-5_p_0.0011 1 neur,12.216690735889383,-0.09577154665928145,-1.0357693113502338,4.178171660558486,3255.4084626820913,1554.956494830569,100.4177785057271,1
109,probe2-5_p_0.0012 1 neur,12.141610232882275,-0.0939907734034886,-1.0385315285365733,4.151743315106451,3215.125495657617,1535.291365608495,100.00718162196549,1
110,probe2-5_p_0.0013 1 neur,12.216226610487187,-0.08841920313918328,-1.0425506834769216,4.172643417492015,3255.728900815655,1556.2013280421932,100.32010594857745,1
111,probe2-5_p_0.0014 1 neur,12.049356645659893,-0.09557426307479044,-1.0356997850375247,4.121254519374031,3166.7480659032503,1512.6239905516197,99.03425864204527,1
112,probe2-5_p_0.0015 1 neur,12.321882096996134,-0.09411916607397641,-1.038337440281987,4.213624905559967,3311.442483013874,1581.3001905745652,101.47850430215063,1
113,probe2-5_p_0.0016 1 neur,12.194503830527497,-0.095850893914037,-1.0356568657637655,4.170853880125168,3243.417146259234,1549.243633986181,100.22913860243705,1
114,probe2-5_p_0.0017 1 neur,12.064333258586212,-0.09560166752084376,-1.035730466061296,4.1263052741874455,3174.6254420242667,1516.3900109330432,99.15899312029752,1
115,probe2-5_p_0.0018 1 neur,12.071389554945839,-0.09554215769642438,-1.0357209111140895,4.128675816479399,3178.387290656431,1518.181758727154,99.21628947423017,1
116,probe2-5_p_0.0019 1 neur,12.102306623902233,-0.09408904916696503,-1.0383221547943973,4.138591443573368,3194.452457695349,1525.4438857708237,99.6674638635842,1
117,probe2-5_p_0.002 1 neur,11.972404835385115,-0.09559059930482894,-1.0357936808517254,4.094645151091793,3126.3724806401688,1493.3231943717833,98.40713030093943,1
118,probe2-5.1_p_0.001 1 neur,11.569374643715594,-0.09416643270318836,-1.0383520543959748,3.956498420383815,3164.0251402929234,1512.0878292486775,99.08463487724165,1
119,probe2-5.1_p_0.0011 1 neur,11.697530039136707,-0.09576225490515489,-1.0357697577741816,4.000610929158752,3234.3833568613645,1544.9138247163048,100.09296520633389,1
120,probe2-5.1_p_0.0012 1 neur,11.625681031499816,-0.0939957354565828,-1.0385260913245078,3.975329495412997,3194.360361074105,1525.3755721768275,99.68370439661098,1
121,probe2-5.1_p_0.0013 1 neur,11.697109884491027,-0.08841724880776569,-1.0425525082657412,3.9953316816445765,3234.7012374546093,1546.1503469252334,99.99561407263018,1
122,probe2-5.1_p_0.0014 1 neur,11.537330524874227,-0.09557266768487116,-1.035701576040798,3.9461250167906834,3146.295237080518,1502.854508605615,98.71393005787212,1
123,probe2-5.1_p_0.0015 1 neur,11.798279695708016,-0.09411660887487727,-1.0383384223518517,4.034572779438621,3290.0552258865146,1571.0872134183076,101.15026986868507,1
124,probe2-5.1_p_0.0016 1 neur,11.676325783316532,-0.09583953557286629,-1.0356593142064052,3.993618395864853,3222.469199829974,1539.237686634857,99.90494395268743,1
125,probe2-5.1_p_0.0017 1 neur,11.551676688497423,-0.0956063881820226,-1.0357280130712707,3.950964726941017,3154.12200127045,1506.5963552345913,98.8382624686308,1
126,probe2-5.1_p_0.0018 1 neur,11.558438830307487,-0.09554132612152433,-1.0357207536296933,3.9532318220972487,3157.8594821939814,1508.376496454094,98.89537326480917,1
127,probe2-5.1_p_0.0019 1 neur,11.588039027319002,-0.09409116921626914,-1.0383212551108552,3.9627254617180703,3173.821129852109,1515.5918249955337,99.34509232616647,1
128,probe2-5.1_p_0.002 1 neur,11.463652571003164,-0.09559794899816065,-1.035789107131331,3.920654458861069,3106.1808707469254,1483.6785999088768,98.08883586631737,1
129,probe5_p_0.001 1 neur,5.987118600367819,-0.09415419760712807,-1.0383611502545955,2.047479290046389,3348.01496663246,1600.016451005346,101.92489875606368,1
130,probe5_p_0.0011 1 neur,6.053444389797821,-0.0957718958345648,-1.0357692935120488,2.07030950891951,3422.4660832905956,1634.751971321239,102.96215632997567,1
131,probe5_p_0.0012 1 neur,6.016252573840404,-0.09399554589097425,-1.0385263353530343,2.0572201175537117,3380.1226028673927,1614.0810684425155,102.54118647546296,1
132,probe5_p_0.0013 1 neur,6.053218634957753,-0.08841630186076266,-1.0425533964746039,2.0675721247722283,3422.8052542695905,1636.0619594826392,102.86200014426497,1
133,probe5_p_0.0014 1 neur,5.970535284422262,-0.0955766604466679,-1.0356971098094714,2.042109158524231,3329.2584232471345,1590.2485890955886,101.543557227317,1
134,probe5_p_0.0015 1 neur,6.105577444113213,-0.09411158704700284,-1.0383403515586873,2.0878807742985597,3481.378094134005,1662.4489614014724,104.04974502113916,1
135,probe5_p_0.0016 1 neur,6.042462287917022,-0.09584645766829158,-1.0356578162507177,2.066686495262297,3409.8651539281154,1628.7487474465174,102.76878049637844,1
136,probe5_p_0.0017 1 neur,5.977961411543876,-0.09558229622132108,-1.035740534009091,2.0446112058293275,3337.5407656621383,1594.2079295550825,101.67149783205893,1
137,probe5_p_0.0018 1 neur,5.98146207150053,-0.09554127107630572,-1.0357207716485675,2.0457871257229767,3341.4943364289297,1596.0912061302135,101.73021034201128,1
138,probe5_p_0.0019 1 neur,5.996780232301126,-0.09409706717624422,-1.0383187555542377,2.0506953508404333,3358.385851144453,1603.726917079839,102.19284252439483,1
139,probe5_p_0.002 1 neur,5.932405656224437,-0.09561219556229172,-1.0357802441843944,2.0289329770833198,3286.813672807478,1569.9584807924762,100.90058360754455,1
140,probe7-2_p_0.001 1 neur,11.326646427271847,-0.09412429793930066,-1.0383833678989953,3.8735068634233203,3183.157764569756,1521.2312657635962,99.38378287667953,1
